date,dayofyear,water_level,rainfall,precipitation_sum,temperature_2m_max,et0_fao_evapotranspiration
2021-01-01,1,,,,,
2021-01-02,2,,,,,
2021-01-03,3,,,,,
2021-01-04,4,,,,,
2021-01-05,5,,,,,
2021-01-06,6,,,,,
2021-01-07,7,,,,,
2021-01-08,8,,,,,
2021-01-09,9,,,,,
2021-01-10,10,,,,,
2021-01-11,11,,,,,
2021-01-12,12,,,,,
2021-01-13,13,,,,,
2021-01-14,14,,,,,
2021-01-15,15,,,,,
2021-01-16,16,,,,,
2021-01-17,17,,,,,
2021-01-18,18,,,,,
2021-01-19,19,,,,,
2021-01-20,20,,,,,
2021-01-21,21,,,,,
2021-01-22,22,,,,,
2021-01-23,23,,,,,
2021-01-24,24,,,,,
2021-01-25,25,,,,,
2021-01-26,26,,,,,
2021-01-27,27,,,,,
2021-01-28,28,,,,,
2021-01-29,29,,,,,
2021-01-30,30,,,,,
2021-01-31,31,,,,,
2021-02-01,32,,,,,
2021-02-02,33,,,,,
2021-02-03,34,,,,,
2021-02-04,35,,,,,
2021-02-05,36,,,,,
2021-02-06,37,,,,,
2021-02-07,38,,,,,
2021-02-08,39,,,,,
2021-02-09,40,,,,,
2021-02-10,41,,,,,
2021-02-11,42,,,,,
2021-02-12,43,,,,,
2021-02-13,44,,,,,
2021-02-14,45,,,,,
2021-02-15,46,,,,,
2021-02-16,47,,,,,
2021-02-17,48,,,,,
2021-02-18,49,,,,,
2021-02-19,50,,,,,
2021-02-20,51,,,,,
2021-02-21,52,,,,,
2021-02-22,53,,,,,
2021-02-23,54,,,,,
2021-02-24,55,,,,,
2021-02-25,56,,,,,
2021-02-26,57,,,,,
2021-02-27,58,,,,,
2021-02-28,59,,,,,
2021-03-01,60,,,,,
2021-03-02,61,,,,,
2021-03-03,62,,,,,
2021-03-04,63,,,,,
2021-03-05,64,,,,,
2021-03-06,65,,,,,
2021-03-07,66,,,,,
2021-03-08,67,,,,,
2021-03-09,68,,,,,
2021-03-10,69,,,,,
2021-03-11,70,,,,,
2021-03-12,71,,,,,
2021-03-13,72,,,,,
2021-03-14,73,,,,,
2021-03-15,74,,,,,
2021-03-16,75,,,,,
2021-03-17,76,,,,,
2021-03-18,77,,,,,
2021-03-19,78,,,,,
2021-03-20,79,,,,,
2021-03-21,80,,,,,
2021-03-22,81,,,,,
2021-03-23,82,,,,,
2021-03-24,83,,,,,
2021-03-25,84,,,,,
2021-03-26,85,,,,,
2021-03-27,86,,,,,
2021-03-28,87,,,,,
2021-03-29,88,,,,,
2021-03-30,89,,,,,
2021-03-31,90,,,,,
2021-04-01,91,,,,,
2021-04-02,92,,,,,
2021-04-03,93,,,,,
2021-04-04,94,,,,,
2021-04-05,95,,,,,
2021-04-06,96,,,,,
2021-04-07,97,,,,,
2021-04-08,98,,,,,
2021-04-09,99,,,,,
2021-04-10,100,,,,,
2021-04-11,101,,,,,
2021-04-12,102,,,,,
2021-04-13,103,,,,,
2021-04-14,104,,,,,
2021-04-15,105,,,,,
2021-04-16,106,,,,,
2021-04-17,107,,,,,
2021-04-18,108,,,,,
2021-04-19,109,,,,,
2021-04-20,110,,,,,
2021-04-21,111,,,,,
2021-04-22,112,,,,,
2021-04-23,113,,,,,
2021-04-24,114,,,,,
2021-04-25,115,,,,,
2021-04-26,116,,,,,
2021-04-27,117,,,,,
2021-04-28,118,,,,,
2021-04-29,119,,,,,
2021-04-30,120,,,,,
2021-05-01,121,,,,,
2021-05-02,122,,,,,
2021-05-03,123,,,,,
2021-05-04,124,,,,,
2021-05-05,125,,,,,
2021-05-06,126,,,,,
2021-05-07,127,,,,,
2021-05-08,128,,,,,
2021-05-09,129,,,,,
2021-05-10,130,,,,,
2021-05-11,131,,,,,
2021-05-12,132,,,,,
2021-05-13,133,,,,,
2021-05-14,134,,,,,
2021-05-15,135,,,,,
2021-05-16,136,,,,,
2021-05-17,137,,,,,
2021-05-18,138,,,,,
2021-05-19,139,,,,,
2021-05-20,140,,,,,
2021-05-21,141,,,,,
2021-05-22,142,,,,,
2021-05-23,143,,,,,
2021-05-24,144,,,,,
2021-05-25,145,,,,,
2021-05-26,146,,,,,
2021-05-27,147,,,,,
2021-05-28,148,,,,,
2021-05-29,149,,,,,
2021-05-30,150,,,,,
2021-05-31,151,,,,,
2021-06-01,152,,,,,
